"Series";"Time";"Value"
"Probe-1";"2020-05-04T15:30:06+02:00";48.45625
"Probe-1";"2020-05-04T15:30:07+02:00";48.1875
"Probe-1";"2020-05-04T15:30:07+02:00";48.45
"Probe-1";"2020-05-04T15:30:07+02:00";48.7125
"Probe-1";"2020-05-04T15:30:07+02:00";48.975
"Probe-1";"2020-05-04T15:30:07+02:00";49.2375
"Probe-1";"2020-05-04T15:30:08+02:00";49.5
"Probe-1";"2020-05-04T15:30:08+02:00";49.7625
"Probe-1";"2020-05-04T15:30:08+02:00";50.025
"Probe-1";"2020-05-04T15:30:08+02:00";50.2875
"Probe-1";"2020-05-04T15:30:08+02:00";50.55
"Probe-1";"2020-05-04T15:30:09+02:00";50.8125
"Probe-1";"2020-05-04T15:30:09+02:00";50.825
"Probe-1";"2020-05-04T15:30:09+02:00";50.8375
"Probe-1";"2020-05-04T15:30:09+02:00";50.85
"Probe-1";"2020-05-04T15:30:09+02:00";50.8625
"Probe-1";"2020-05-04T15:30:10+02:00";50.875
"Probe-1";"2020-05-04T15:30:10+02:00";50.8875
"Probe-1";"2020-05-04T15:30:10+02:00";50.9
"Probe-1";"2020-05-04T15:30:10+02:00";50.9125
"Probe-1";"2020-05-04T15:30:10+02:00";50.925
"Probe-1";"2020-05-04T15:30:11+02:00";50.9375
"Probe-1";"2020-05-04T15:30:11+02:00";50.93125
"Probe-1";"2020-05-04T15:30:11+02:00";50.925
"Probe-1";"2020-05-04T15:30:11+02:00";50.91875
"Probe-1";"2020-05-04T15:30:11+02:00";50.9125
"Probe-1";"2020-05-04T15:30:12+02:00";50.90625
"Probe-1";"2020-05-04T15:30:12+02:00";50.9
"Probe-1";"2020-05-04T15:30:12+02:00";50.89375
"Probe-1";"2020-05-04T15:30:12+02:00";50.8875
"Probe-1";"2020-05-04T15:30:12+02:00";50.88125
"Probe-1";"2020-05-04T15:30:13+02:00";50.875
"Probe-1";"2020-05-04T15:30:13+02:00";50.86875
"Probe-1";"2020-05-04T15:30:13+02:00";50.8625
"Probe-1";"2020-05-04T15:30:13+02:00";50.85625
"Probe-1";"2020-05-04T15:30:13+02:00";50.85
"Probe-1";"2020-05-04T15:30:14+02:00";50.84375
"Probe-1";"2020-05-04T15:30:14+02:00";50.8375
"Probe-1";"2020-05-04T15:30:14+02:00";50.83125
"Probe-1";"2020-05-04T15:30:14+02:00";50.825
"Probe-1";"2020-05-04T15:30:14+02:00";50.81875
"Probe-1";"2020-05-04T15:30:15+02:00";50.8125
"Probe-1";"2020-05-04T15:30:15+02:00";50.825
"Probe-1";"2020-05-04T15:30:15+02:00";50.8375
"Probe-1";"2020-05-04T15:30:15+02:00";50.85
"Probe-1";"2020-05-04T15:30:15+02:00";50.8625
"Probe-1";"2020-05-04T15:30:16+02:00";50.875
"Probe-1";"2020-05-04T15:30:16+02:00";50.8875
"Probe-1";"2020-05-04T15:30:16+02:00";50.9
"Probe-1";"2020-05-04T15:30:16+02:00";50.9125
"Probe-1";"2020-05-04T15:30:16+02:00";50.925
"Probe-1";"2020-05-04T15:30:17+02:00";50.9375
"Probe-1";"2020-05-04T15:30:17+02:00";50.9375
"Probe-1";"2020-05-04T15:30:17+02:00";50.9375
"Probe-1";"2020-05-04T15:30:17+02:00";50.9375
"Probe-1";"2020-05-04T15:30:17+02:00";50.9375
"Probe-1";"2020-05-04T15:30:18+02:00";50.9375
"Probe-1";"2020-05-04T15:30:18+02:00";50.9375
"Probe-1";"2020-05-04T15:30:18+02:00";50.9375
"Probe-1";"2020-05-04T15:30:18+02:00";50.9375
"Probe-1";"2020-05-04T15:30:18+02:00";50.9375
"Probe-1";"2020-05-04T15:30:19+02:00";50.9375
"Probe-1";"2020-05-04T15:30:19+02:00";50.9375
"Probe-1";"2020-05-04T15:30:19+02:00";50.9375
"Probe-1";"2020-05-04T15:30:19+02:00";50.9375
